id,elev,lat,lon
342,1079.84,-117.493261,34.295739
343,1079.93,-117.493346,34.295697
344,1083.81,-117.49362,34.295754
345,1083.57,-117.493725,34.295724
346,1085.5,-117.49387,34.295768
347,1079.23,-117.494097,34.295901
348,1078.12,-117.494166,34.295973
349,1083.91,-117.494248,34.296178
350,1084.64,-117.494299,34.29625
351,1087.34,-117.494368,34.296285
352,1088.14,-117.494436,34.296202
353,1091.12,-117.494511,34.296165
354,1087.14,-117.494605,34.295965
355,1087.1,-117.494648,34.295944
356,1090.31,-117.494808,34.296144
357,1093.22,-117.494901,34.296362
358,1088.99,-117.495212,34.29651
359,1095.14,-117.495326,34.296823
360,1093.64,-117.49546,34.296799
361,1090.8,-117.495539,34.29672
362,1090.83,-117.495689,34.296754
363,1092.57,-117.495807,34.296837
364,1093.25,-117.496017,34.296922
365,1092.88,-117.496445,34.296956
366,1093.26,-117.496784,34.296911
367,1098.64,-117.497054,34.296956
368,1103.3,-117.497297,34.29691
369,1101.73,-117.497312,34.296734
370,1101.94,-117.497343,34.296722
371,1104.26,-117.497472,34.296799
372,1105.13,-117.497609,34.296835
373,1101.55,-117.497808,34.296696
374,1100.61,-117.497916,34.296692
375,1101.38,-117.497976,34.296839
376,1098.74,-117.498145,34.296844
377,1101.87,-117.498197,34.296888
378,1098.57,-117.498275,34.2968
379,1097.1,-117.498275,34.29676
380,1096.08,-117.498369,34.2967
381,1094.47,-117.498671,34.296601
382,1097.24,-117.499167,34.296579
383,1099.05,-117.499591,34.296463
384,1100.14,-117.499845,34.296446
385,1094.7,-117.5001,34.296605
386,1096.84,-117.50026,34.296791
387,1093.18,-117.500406,34.296832
388,1096.19,-117.500631,34.296992
389,1097.63,-117.500854,34.297231
390,1096.96,-117.50111,34.297381
391,1097.46,-117.501187,34.297512
392,1097.54,-117.501214,34.297632
393,1097.53,-117.501335,34.297732
394,1097.4,-117.501517,34.297659
395,1097.86,-117.501665,34.297664
396,1102.37,-117.501931,34.297723
397,1101.14,-117.502421,34.297595
398,1097.21,-117.503158,34.29752
399,1100.87,-117.503289,34.297626
400,1097.67,-117.503511,34.297653
401,1095.47,-117.503754,34.297752
402,1098.97,-117.503882,34.297956
403,1095,-117.503989,34.297968
404,1095.29,-117.504065,34.298043
405,1090.99,-117.504601,34.298276
406,1089.2,-117.504756,34.298303
407,1091.2,-117.505185,34.298677
408,1090.29,-117.505257,34.29868
409,1088.03,-117.505315,34.29863
410,1087.55,-117.505457,34.298639
411,1088.03,-117.505597,34.298716
412,1086.93,-117.505775,34.298719
413,1090.16,-117.505983,34.298896
