elev,xcoord,ycoord,id,dist,dist_total
2022.01,-116.570519,33.642694,362,776.195363815,235544.320495061
2065.12,-116.571242,33.659193,363,871.045081306,236415.365576367
2065.21,-116.575355,33.666253,364,871.045081306,237286.410657673
2129.72,-116.583679,33.674287,365,1178.983020083,238465.393677756
2164.15,-116.59552,33.678532,366,694.465696531,239159.859374287
2051.19,-116.601544,33.682252,367,300.56437156,239460.423745847
1932.69,-116.600159,33.684702,368,300.56437156,239760.988117407
1877.44,-116.611826,33.693379,369,949.375002833,240710.36312024
2080.39,-116.617671,33.700407,370,964.766474449,241675.129594689
2139.51,-116.622027,33.708306,371,964.766474449,242639.896069138
2251.98,-116.624952,33.717289,372,1032.55635783,243672.452426968
2171.02,-116.629037,33.726436,373,362.744081944,244035.196508912
2106.4,-116.632618,33.727756,374,362.744081944,244397.940590856
2096.09,-116.640892,33.733982,375,445.292618153,244843.233209009
2187.86,-116.644325,33.736791,376,445.292618153,245288.525827162
2239.02,-116.645332,33.742146,377,483.35241381,245771.878240972
2320.97,-116.648823,33.745384,378,483.35241381,246255.230654782
2400.56,-116.649034,33.753304,379,878.68702248,247133.917677262
2509.7,-116.644603,33.760748,380,599.957906637,247733.875583899
2534.77,-116.650797,33.762327,381,599.957906637,248333.833490536
2514.41,-116.661182,33.761777,382,667.948042633,249001.781533169
2528.99,-116.668223,33.760481,383,331.004171093,249332.785704262
2599.9,-116.671703,33.759805,384,331.004171093,249663.789875355
2486.02,-116.674241,33.771208,385,799.235504001,250463.025379356
2566.4,-116.673715,33.7784,386,322.09847883,250785.123858186
2701.46,-116.673314,33.781285,387,322.09847883,251107.222337016
2731.41,-116.676356,33.787558,388,750.724704346,251857.947041362
2621.65,-116.688903,33.786041,389,812.316317376,252670.263358738
2514.9,-116.696561,33.782472,390,738.437139994,253408.700498732
2459.18,-116.704056,33.784742,391,705.989169304,254114.689668036
2551.2,-116.706458,33.790783,392,705.989169304,254820.67883734
2626.28,-116.707013,33.797457,393,626.015788847,255446.694626187
2686.75,-116.701418,33.800624,394,651.734603944,256098.429230131
2726.88,-116.699011,33.806146,395,554.663901382,256653.093131513
2644.18,-116.699824,33.8111,396,554.663901382,257207.757032895
2650.12,-116.701675,33.818368,397,824.137472778,258031.894505673
2592.54,-116.707426,33.823716,398,542.532597331,258574.427103004
2571.38,-116.710919,33.827643,399,542.532597332,259116.959700336
2488.77,-116.715182,33.833357,400,746.545796452,259863.505496788
2418.21,-116.726869,33.838501,401,861.356540472,260724.86203726
2361.79,-116.736158,33.838964,402,678.232126629,261403.094163889
2286.01,-116.740045,33.844147,403,678.232126629,262081.326290518
2186.35,-116.735039,33.851807,404,515.266701912,262596.59299243
2089.91,-116.733172,33.856183,405,289.023847419,262885.616839849
2020.32,-116.730053,33.856322,406,289.023847419,263174.640687268
1925.49,-116.722263,33.857132,407,179.533040526,263354.173727794
1848.92,-116.720459,33.857728,408,179.533040526,263533.70676832
1735.09,-116.717512,33.865455,409,302.82768176,263836.53445008
1646.17,-116.714247,33.865653,410,138.27668346,263974.81113354
1575.42,-116.712779,33.865423,411,138.27668346,264113.087817
1467.96,-116.71099,33.872337,412,537.980397435,264651.068214435
1381.33,-116.708426,33.867984,413,325.58310182,264976.651316255
1325.26,-116.705072,33.868871,414,258.122250972,265234.773567227
1247.73,-116.702586,33.869927,415,258.122250972,265492.895818199
1154.5,-116.6955,33.865185,416,434.8022707,265927.698088899
1061.32,-116.697094,33.869969,417,357.564365574,266285.262454473
1006.7,-116.693521,33.86874,418,357.564365574,266642.826820047
906.58,-116.688868,33.873728,419,701.080717054,267343.907537101
828.13,-116.692761,33.882145,420,402.826299624,267746.733836725
746.12,-116.698332,33.885362,421,626.743031886,268373.476868611
673.51,-116.68873,33.883517,422,402.826299624,268776.303168235
624.75,-116.684816,33.881733,423,412.571853385,269188.87502162
539.25,-116.680191,33.877218,424,658.773207363,269847.648228983
382.27,-116.680626,33.890664,425,1063.742826806,270911.391055789
363.71,-116.684781,33.902321,426,1215.957421655,272127.348477444
379.43,-116.684701,33.913283,427,1215.957421655,273343.305899099
404.43,-116.69355,33.923304,428,170.280487038,273513.586386137
409.33,-116.694668,33.924524,429,170.280487037,273683.866873174
478.22,-116.702189,33.935726,430,1423.894347577,275107.761220751
561.64,-116.692541,33.94679,431,1292.274944641,276400.036165392
623.45,-116.678968,33.949579,432,1225.27089858,277625.307063972
710.83,-116.666005,33.951885,433,1240.999329046,278866.306393018
808.63,-116.665956,33.963073,434,1240.999329046,280107.305722064
949.98,-116.67473,33.972063,435,387.637814779,280494.943536843
863.97,-116.675257,33.97553,436,387.637814779,280882.581351622
834.05,-116.669487,33.977942,437,538.56663784,281421.147989462
895.7,-116.668847,33.982768,438,538.56663784,281959.714627302
817.76,-116.667382,33.98844,439,431.013942591,282390.728569893
713.15,-116.664669,33.991601,440,431.013942591,282821.742512484
754.39,-116.669529,34.00351,441,1006.607717221,283828.350229705
793.19,-116.669886,34.01258,442,884.567039445,284712.91726915
882.51,-116.665347,34.019602,443,458.092799191,285171.010068341
893.98,-116.660839,34.021324,444,458.092799191,285629.102867532
979.54,-116.654774,34.02946,445,238.902918298,285868.00578583
1046.61,-116.654375,34.027332,446,238.902918298,286106.908704128
1100.2,-116.65473,34.033029,447,395.904863693,286502.813567821
1080.26,-116.657632,34.038578,448,427.326956286,286930.140524107
948.1,-116.653014,34.03833,449,427.326956286,287357.467480393
992.58,-116.665096,34.048678,450,882.686417326,288240.153897719
1056.56,-116.672224,34.053981,451,845.018393925,289085.172291644
1116.15,-116.674837,34.061282,452,845.018393925,289930.190685569
