id,elev,lon,lat,dist,dist_total
3280,1650.2,-116.456544,32.905167,305.707971187,48153.531266351
3300,1668.89,-116.454834,32.907516,305.707971187,48459.239237538
3320,1689.45,-116.45362,32.91201,511.172746681,48970.411984219
3340,1677.44,-116.456032,32.916598,556.603947974,49527.015932193
3360,1670.91,-116.460627,32.919616,588.869805828,50115.885738021
3380,1685.14,-116.463086,32.924504,588.869805828,50704.755543849
3400,1681.43,-116.468118,32.926985,508.258976515,51213.014520364
3420,1659,-116.471455,32.923368,239.894455101,51452.908975465
3440,1635.8,-116.473774,32.922444,239.894455101,51692.803430566
3460,1604.56,-116.477539,32.924986,400.920112629,52093.723543195
3480,1599.89,-116.481823,32.925108,400.920112629,52494.643655824
3500,1644.82,-116.480926,32.930944,652.645656329,53147.289312153
3520,1669.06,-116.483005,32.936961,580.638661752,53727.927973905
3540,1671.99,-116.484932,32.941938,477.320354886,54205.248328791
3560,1649.64,-116.488369,32.94512,477.320354886,54682.568683677
3580,1598.27,-116.492101,32.948348,300.76901365,54983.337697327
3600,1622.65,-116.495268,32.947874,300.76901365,55284.106710977
3620,1628.24,-116.498326,32.949086,315.962780205,55600.069491182
3640,1582.42,-116.498633,32.953142,194.51055615,55794.580047332
3660,1587.12,-116.50039,32.952203,194.51055615,55989.090603482
3680,1580.2,-116.501663,32.953857,218.669012264,56207.759615746
3700,1576.21,-116.504423,32.957022,287.915111629,56495.674727375
3720,1553.74,-116.504573,32.959615,287.915111629,56783.589839004
3740,1513.28,-116.505214,32.963374,421.172828037,57204.762667041
3760,1478.37,-116.50886,32.9656,420.483470941,57625.246137982
3780,1500.34,-116.511678,32.968555,420.483470941,58045.729608923
3800,1511.07,-116.514562,32.971633,379.362922061,58425.092530984
3820,1515.21,-116.517015,32.974358,295.218746927,58720.311277911
3840,1509.56,-116.519252,32.976237,295.218746928,59015.530024839
3860,1549.68,-116.521288,32.978428,308.651888193,59324.181913032
