id,elev,lat,lon
577,873.27,-116.508385,32.622636
578,875.53,-116.508632,32.622828
579,875.37,-116.508534,32.622936
580,876.82,-116.508327,32.622944
581,878.29,-116.508178,32.622888
582,877.78,-116.508134,32.622845
583,880.21,-116.507712,32.622963
584,879.17,-116.507527,32.622921
585,879.64,-116.507291,32.623012
586,882.24,-116.50735,32.623145
587,881.73,-116.507318,32.623206
588,883.23,-116.507336,32.623333
589,883.25,-116.507286,32.623454
590,884.16,-116.507165,32.623572
591,887.22,-116.507088,32.623779
592,889.38,-116.507157,32.623997
593,888.58,-116.507108,32.624096
594,889.73,-116.507165,32.62419
595,893.03,-116.507407,32.624295
596,893.3,-116.507448,32.624344
597,892.49,-116.507395,32.624455
598,895.18,-116.507443,32.624735
599,896.5,-116.507394,32.624934
600,895.83,-116.507403,32.624973
601,900.29,-116.507585,32.625022
602,898.1,-116.507572,32.625157
603,898.54,-116.507615,32.625352
604,898.16,-116.507775,32.625429
605,893.29,-116.507902,32.625576
606,898.33,-116.508135,32.625638
607,901.76,-116.508355,32.625868
608,905.95,-116.508565,32.625945
609,901.25,-116.50896,32.626437
610,906.3,-116.509076,32.626405
611,904.01,-116.509294,32.626506
612,909.53,-116.509492,32.626457
613,912.34,-116.509629,32.626508
614,909.24,-116.509688,32.626772
615,911.23,-116.509821,32.626846
616,911.86,-116.509865,32.626845
617,911.1,-116.509929,32.626902
618,913.44,-116.510008,32.62686
619,914.28,-116.510102,32.626858
620,915.83,-116.510161,32.626905
621,914.85,-116.510215,32.627019
622,915.61,-116.510249,32.62699
623,919.13,-116.510363,32.627028
624,919.72,-116.510373,32.6271
625,918,-116.510095,32.627327
626,916.9,-116.510179,32.627638
627,916.86,-116.510455,32.627847
628,917.9,-116.51072,32.627927
629,921.33,-116.51113,32.62792
630,924.81,-116.511408,32.62802
631,921.96,-116.511434,32.628117
632,919.95,-116.511777,32.628101
633,921.15,-116.511879,32.628139
634,922.38,-116.511901,32.62816
635,919.46,-116.511891,32.628324
636,917.52,-116.511951,32.628416
637,919.3,-116.512169,32.628527
638,919.05,-116.512236,32.628644
639,916.66,-116.512314,32.628704
640,916.1,-116.51242,32.6287
641,920.16,-116.512521,32.628744
642,918.54,-116.512578,32.629078
643,915.46,-116.512825,32.629472
644,915.21,-116.512931,32.629503
645,914.12,-116.513111,32.629496
646,915.7,-116.513373,32.629796
647,914.78,-116.513474,32.629812
648,915.94,-116.513577,32.62978
649,916.66,-116.51379,32.630004
650,915.71,-116.514044,32.630128
651,919.28,-116.51421,32.630083
652,919.52,-116.514327,32.630113
653,921.04,-116.51442,32.630085
654,924.66,-116.51465,32.630178
655,924.72,-116.51472,32.63019
656,928.51,-116.514852,32.63016
657,933.34,-116.515163,32.630456
658,939.22,-116.515437,32.630644
659,942.4,-116.515408,32.630461
660,943.9,-116.515287,32.63027
661,946.45,-116.515286,32.630135
662,948.65,-116.515345,32.629968
663,949.22,-116.515325,32.629834
664,949.72,-116.51526,32.629756
665,951.47,-116.515109,32.629665
666,955.7,-116.515242,32.629575
667,954.46,-116.515161,32.629411
668,959.02,-116.51533,32.629522
669,959.06,-116.515394,32.629663
670,967.24,-116.515666,32.629916
671,972.66,-116.515692,32.630021
672,974.32,-116.515787,32.62995
673,974.48,-116.515847,32.629851
674,972.41,-116.515796,32.629795
675,974.88,-116.515768,32.629525
676,980.31,-116.515822,32.629291
677,979.42,-116.515756,32.629225
678,981.47,-116.515725,32.629109
679,979.53,-116.51563,32.629055
680,983.49,-116.515658,32.628984
681,988.52,-116.515855,32.628919
682,988.16,-116.515778,32.628965
683,988.11,-116.515819,32.629019
684,989.09,-116.515954,32.62908
685,989.22,-116.515956,32.629144
686,990.43,-116.51603,32.629184
687,993.25,-116.516111,32.628993
688,993.97,-116.516159,32.628978
689,996.28,-116.516344,32.629035
690,994.58,-116.516368,32.629
691,994.25,-116.516129,32.628792
692,997.76,-116.516099,32.628643
693,999.69,-116.516233,32.628578
694,1002.53,-116.516599,32.628577
695,1002.23,-116.516699,32.628501
696,1004.15,-116.516834,32.628499
697,1005.07,-116.516798,32.628265
698,1006.7,-116.516899,32.628204
699,1007.16,-116.517011,32.628078
700,1004.57,-116.516764,32.628031
701,1005.95,-116.516648,32.627949
702,1005.43,-116.516472,32.627983
703,1005.66,-116.516382,32.627974
704,1006.53,-116.516283,32.627917
705,1007.38,-116.516253,32.627844
706,1009.34,-116.516372,32.627651
707,1010.59,-116.516323,32.627479
708,1010.65,-116.516228,32.627397
709,1013.3,-116.51625,32.627294
710,1015,-116.516317,32.627191
711,1016.65,-116.516525,32.62714
712,1017.08,-116.516663,32.62701
713,1018.89,-116.516777,32.626975
714,1020.61,-116.517037,32.626757
715,1020.82,-116.51693,32.626704
716,1021.5,-116.516835,32.626699
717,1023.21,-116.516587,32.62657
718,1023.53,-116.516577,32.626541
719,1024.21,-116.516685,32.626358
720,1024.21,-116.516617,32.626166
721,1024.01,-116.516699,32.625971
722,1023.79,-116.516736,32.625768
723,1023.06,-116.516731,32.625634
724,1023.91,-116.516608,32.625496
725,1024.42,-116.516666,32.6254
726,1024.58,-116.516738,32.625361
727,1025.42,-116.51704,32.625272
728,1025.76,-116.517108,32.625142
729,1026.55,-116.517239,32.625067
730,1026.92,-116.517287,32.624741
731,1026.96,-116.51734,32.624601
732,1026.76,-116.517632,32.624326
733,1026.95,-116.517725,32.624301
734,1025.87,-116.517829,32.62421
735,1024.88,-116.518023,32.623931
736,1023.68,-116.5183,32.623726
737,1019.62,-116.518566,32.623426
738,1017.99,-116.518744,32.623311
739,1018.36,-116.518841,32.623325
740,1020.99,-116.51905,32.623441
741,1023.05,-116.519152,32.623446
742,1022.75,-116.519195,32.623523
743,1024.81,-116.519353,32.623574
744,1025.27,-116.519455,32.623686
745,1027.06,-116.51969,32.623651
746,1026.68,-116.519719,32.623726
747,1026.62,-116.519877,32.623836
