DBA,BORO,ZIPCODE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE
Junior's Seafood,2,10453,72,2014-02-25 00:00:00,F,02B,32,Z
Junior's Seafood,2,10453,72,2014-02-25 00:00:00,F,02G,32,Z
EVERYDAY GOURMET DELI,1,10017,3,2014-02-25 00:00:00,D,10F,11,A
CHOOPAN KABAB RESTAURANT,4,11355,1,2014-02-25 00:00:00,D,04L,12,A
EVERYDAY GOURMET DELI,1,10017,3,2014-02-25 00:00:00,D,09C,11,A
BAGEL MART PLUS,4,11357,7,2014-02-25 00:00:00,D,10F,7,A
BANANA KING,4,11372,53,2014-02-25 00:00:00,U,02B,27,Z
KASHKAR CAFE,3,11235,67,2014-02-25 00:00:00,F,10D,44,Z
KASHKAR CAFE,3,11235,67,2014-02-25 00:00:00,F,05D,44,Z
HONG KONG GOURMET,4,11421,20,2014-02-25 00:00:00,D,10F,3,A
DOUBLE HAPPY KITCHEN,4,11421,20,2014-02-25 00:00:00,D,10F,6,A
BROADWAY BAKERY & PIZZERIA,4,11419,62,2014-02-25 00:00:00,D,10F,11,A
GINGERSNAP'S ORGANIC,1,10009,84,2014-02-25 00:00:00,D,04L,11,A
PHOENIX,1,10009,3,2014-02-25 00:00:00,D,04H,10,A
SODESH RESTAURANT.,2,10467,9,2014-02-25 00:00:00,D,04L,10,A
GINGERSNAP'S ORGANIC,1,10009,84,2014-02-25 00:00:00,D,10H,11,A
THE BEST TASTE OF ITALY PIZZERIA & RESTAURANT,4,11421,62,2014-02-25 00:00:00,D,10F,11,A
MURA,3,11215,49,2014-02-25 00:00:00,D,10D,12,A
MURA,3,11215,49,2014-02-25 00:00:00,D,10E,12,A
MARIO GOURMET DELI,1,10025,27,2014-02-25 00:00:00,D,08A,9,A
SABOR A MEXICO TAQUERIA,1,10009,55,2014-02-25 00:00:00,D,06C,8,A
MURA,3,11215,49,2014-02-25 00:00:00,D,06D,12,A
BIANG!,4,11355,20,2014-02-25 00:00:00,U,02B,15,Z
LECHONERO POLLO SABROSO,2,10456,77,2014-02-25 00:00:00,D,10F,8,A
MUNCHIES CAFE,3,11214,20,2014-02-25 00:00:00,D,04H,9,A
LUCKY STAR,4,11412,20,2014-02-25 00:00:00,D,08A,9,A
MABAT,3,11223,50,2014-02-25 00:00:00,D,06D,12,A
DUNKIN DONUTS,4,11433,3,2014-02-25 00:00:00,D,09C,9,A
MISS LILY'S,1,10012,17,2014-02-25 00:00:00,D,09A,7,A
MCDONALD'S,4,11421,3,2014-02-25 00:00:00,D,08A,10,A
MUNCHIES CAFE,3,11214,20,2014-02-25 00:00:00,D,10F,9,A
TOKYO TERIYAKI,4,11375,49,2014-02-25 00:00:00,D,08A,9,A
DUNKIN DONUTS,4,11433,3,2014-02-25 00:00:00,D,10B,9,A
